,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
13988,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-16 09:00:00,SBTC Esports,Team Secret (Vietnamese Team),2,0,1
13989,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-16 12:00:00,Team Flash.Vietnam,Saigon Buffalo,0,2,2
13990,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-17 09:00:00,Burst The Sky Esports,Luxury Esports,0,2,2
13991,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-17 12:00:00,GAM Esports,CERBERUS Esports (Vietnamese Team),1,2,2
13992,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-18 09:00:00,Team Secret (Vietnamese Team),Team Flash.Vietnam,2,1,1
13993,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-18 12:00:00,CERBERUS Esports (Vietnamese Team),SBTC Esports,2,1,1
13994,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-19 09:00:00,Saigon Buffalo,Burst The Sky Esports,2,1,1
13995,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-19 12:00:00,GAM Esports,Luxury Esports,0,2,2
13996,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-20 09:00:00,Team Secret (Vietnamese Team),CERBERUS Esports (Vietnamese Team),1,2,2
13997,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-20 12:00:00,Saigon Buffalo,SBTC Esports,0,2,2
13998,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-21 09:00:00,Luxury Esports,Team Flash.Vietnam,2,0,1
13999,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-21 12:00:00,GAM Esports,Burst The Sky Esports,2,1,1
14000,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-23 09:00:00,Burst The Sky Esports,SBTC Esports,2,1,1
14001,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-23 12:00:00,GAM Esports,Team Flash.Vietnam,2,0,1
14002,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-24 09:00:00,Luxury Esports,CERBERUS Esports (Vietnamese Team),0,2,2
14003,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-24 12:00:00,Saigon Buffalo,Team Secret (Vietnamese Team),2,1,1
14004,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-25 09:00:00,CERBERUS Esports (Vietnamese Team),Team Flash.Vietnam,2,1,1
14005,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-25 12:00:00,GAM Esports,SBTC Esports,2,0,1
14006,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-26 09:00:00,Luxury Esports,Saigon Buffalo,2,1,1
14007,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-26 12:00:00,Burst The Sky Esports,Team Secret (Vietnamese Team),2,0,1
14008,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-27 09:00:00,SBTC Esports,Luxury Esports,0,2,2
14009,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-27 12:00:00,CERBERUS Esports (Vietnamese Team),Saigon Buffalo,2,0,1
14010,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-28 09:00:00,Team Flash.Vietnam,Burst The Sky Esports,0,2,2
14011,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-28 12:00:00,GAM Esports,Team Secret (Vietnamese Team),2,0,1
14012,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-30 09:00:00,Team Secret (Vietnamese Team),Luxury Esports,1,2,2
14013,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-11-30 12:00:00,GAM Esports,Saigon Buffalo,2,1,1
14014,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-01 09:00:00,CERBERUS Esports (Vietnamese Team),Burst The Sky Esports,2,0,1
14015,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-01 12:00:00,SBTC Esports,Team Flash.Vietnam,2,0,1
14016,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-02 09:00:00,Luxury Esports,GAM Esports,0,2,2
14017,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-02 12:00:00,Burst The Sky Esports,Saigon Buffalo,0,2,2
14018,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-03 09:00:00,Team Flash.Vietnam,Team Secret (Vietnamese Team),0,2,2
14019,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-03 12:00:00,SBTC Esports,CERBERUS Esports (Vietnamese Team),0,2,2
14020,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-04 09:00:00,Burst The Sky Esports,GAM Esports,0,2,2
14021,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-04 12:00:00,Team Flash.Vietnam,Luxury Esports,1,2,2
14022,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-05 09:00:00,SBTC Esports,Saigon Buffalo,2,1,1
14023,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-05 12:00:00,CERBERUS Esports (Vietnamese Team),Team Secret (Vietnamese Team),2,0,1
14024,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-07 12:00:00,Team Flash.Vietnam,GAM Esports,0,2,2
14025,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-08 09:00:00,CERBERUS Esports (Vietnamese Team),Luxury Esports,2,1,1
14026,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-08 12:00:00,Team Secret (Vietnamese Team),Saigon Buffalo,0,2,2
14027,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-09 09:00:00,CERBERUS Esports (Vietnamese Team),Team Flash.Vietnam,2,0,1
14028,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-09 12:00:00,SBTC Esports,GAM Esports,0,2,2
14029,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-10 09:00:00,Team Secret (Vietnamese Team),Burst The Sky Esports,1,2,2
14030,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-10 12:00:00,Saigon Buffalo,Luxury Esports,0,2,2
14031,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-11 09:00:00,Team Secret (Vietnamese Team),SBTC Esports,2,0,1
14032,VCS 2021 Winter,Vietnam Championship Series,VCS,2021-12-11 12:00:00,Saigon Buffalo,Team Flash.Vietnam,2,0,1
