,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner,Date__precision
0,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Bangkok Titans,Saigon Jokers,0,1,2,0
1,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Kuala Lumpur Hunters,Saigon Jokers,0,1,2,0
2,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Manila Eagles,Kuala Lumpur Hunters,0,1,2,0
3,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Saigon Jokers,Singapore Sentinels,0,1,2,0
4,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Singapore Sentinels,Kuala Lumpur Hunters,1,0,1,0
5,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Singapore Sentinels,Manila Eagles,1,0,1,0
6,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Bangkok Titans,1,0,1,0
7,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Saigon Jokers,1,0,1,0
8,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Kuala Lumpur Hunters,1,0,1,0
9,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Singapore Sentinels,1,0,1,0
10,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Tt Dragons Taiwan,CrossGaming,0,1,2,0
11,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-18 11:00:00,Singapore Sentinels,Bangkok Titans,1,0,1,0
12,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-18 12:00:00,Taipei Assassins,Manila Eagles,1,0,1,0
13,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-19 11:00:00,Kuala Lumpur Hunters,Saigon Jokers,0,1,2,0
14,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-19 12:00:00,Bangkok Titans,Manila Eagles,0,1,2,0
15,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-20 11:00:00,Saigon Jokers,Singapore Sentinels,0,1,2,0
16,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-20 12:00:00,Kuala Lumpur Hunters,Taipei Assassins,0,1,2,0
17,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-25 11:00:00,Singapore Sentinels,Manila Eagles,1,0,1,0
18,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-25 12:00:00,Saigon Jokers,Taipei Assassins,0,1,2,0
19,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-26 11:00:00,Bangkok Titans,Kuala Lumpur Hunters,0,1,2,0
20,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-26 12:00:00,Taipei Assassins,Singapore Sentinels,1,0,1,0
21,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-27 11:00:00,Manila Eagles,Kuala Lumpur Hunters,0,1,2,0
22,GPL 2012 Season 1,Garena Premier League,GPL,2012-05-27 12:00:00,Saigon Jokers,Bangkok Titans,1,0,1,0
23,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-01 11:00:00,Singapore Sentinels,Kuala Lumpur Hunters,1,0,1,0
24,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-01 12:00:00,Taipei Assassins,Bangkok Titans,1,0,1,0
25,GPL 2012 Season 1,Garena Premier League,GPL,2012-06-02 11:00:00,Manila Eagles,Saigon Jokers,1,0,1,0
