,Team,ID,Nationality,Country,Birthdate,IsRetired,Region
0,,,,,,,EMEA
1,,,,,,,Europe
2,,,,,,,Europe
3,,,,,,,Europe
4,,,,,,,Europe
5,,,,,,,Europe
6,,,,,,,Europe
7,,,,,,,Europe
8,,,,,,,Europe
9,,,,,,,Europe
10,,,,,,,Europe
11,,,,,,,Europe
12,,,,,,,Europe
13,,,,,,,Europe
14,,,,,,,Europe
15,,,,,,,Europe
16,,,,,,,Europe
17,,,,,,,Europe
18,,,,,,,EMEA
19,,,,,,,EMEA
20,,,,,,,EMEA
21,,,,,,,EMEA
22,,,,,,,EMEA
23,,,,,,,China
24,,,,,,,EMEA
25,,,,,,,North America
26,,,,,,,North America
27,,,,,,,North America
28,,,,,,,North America
29,,,,,,,North America
30,,,,,,,Europe
31,,,,,,,North America
32,,,,,,,North America
33,,,,,,,North America
34,,,,,,,North America
35,,,,,,,North America
36,,,,,,,North America
37,,,,,,,China
38,,,,,,,Europe
39,,,,,,,Latin America
40,,,,,,,Brazil
41,,,,,,,EMEA
42,,,,,,,North America
43,,,,,,,Turkey
44,,,,,,,EMEA
45,,,,,,,EMEA
46,,,,,,,EMEA
47,,,,,,,EMEA
48,,,,,,,EMEA
49,,,,,,,EMEA
50,,,,,,,Europe
51,,,,,,,Latin America
52,,,,,,,EMEA
53,,,,,,,EMEA
54,,,,,,,EMEA
55,,,,,,,EMEA
56,,,,,,,Latin America
57,,,,,,,Vietnam
58,,,,,,,Vietnam
59,,,,,,,Vietnam
60,,,,,,,Vietnam
61,,,,,,,Vietnam
62,,,,,,,Vietnam
63,,,,,,,Vietnam
64,,,,,,,Vietnam
65,,,,,,,Vietnam
66,,,,,,,Europe
67,,,,,,,Europe
68,,,,,,,Europe
69,,,,,,,Europe
70,,,,,,,Europe
71,,,,,,,Europe
72,,,,,,,Europe
73,,,,,,,Europe
74,,,,,,,EMEA
75,,,,,,,Europe
76,,,,,,,Europe
77,,,,,,,Europe
78,,,,,,,Europe
79,,,,,,,Europe
80,,,,,,,Europe
81,,,,,,,Europe
82,,,,,,,Europe
83,,,,,,,Europe
84,,,,,,,EMEA
85,,,,,,,Latin America
86,,,,,,,PCS
87,,,,,,,Europe
88,,,,,,,CIS
89,,,,,,,PCS
90,,,,,,,PCS
91,,,,,,,PCS
92,,,,,,,Europe
93,,,,,,,Korea
94,,,,,,,Europe
95,,,,,,,Korea
96,,,,,,,Europe
97,,,,,,,Europe
98,,,,,,,North America
99,,,,,,,North America
100,,,,,,,North America
101,,,,,,,North America
102,,,,,,,Europe
103,,,,,,,Europe
104,,,,,,,Europe
105,,,,,,,Europe
106,,,,,,,China
107,,,,,,,China
108,,,,,,,Latin America
109,,,,,,,North America
110,,,,,,,Turkey
111,,,,,,,Europe
112,,,,,,,LAN
113,,,,,,,SEA
114,,,,,,,Europe
115,,,,,,,EMEA
116,,,,,,,Europe
117,,,,,,,Europe
118,,,,,,,Europe
119,,,,,,,North America
120,,,,,,,North America
121,,,,,,,EMEA
122,,,,,,,North America
123,,,,,,,SEA
124,,,,,,,SEA
125,,,,,,,MENA
126,,,,,,,SEA
127,,,,,,,SEA
128,,,,,,,SEA
129,,,,,,,SEA
130,,,,,,,Europe
131,,,,,,,SEA
132,,,,,,,North America
133,,,,,,,EMEA
134,,,,,,,LMS
135,,,,,,,PCS
136,,,,,,,EMEA
137,,,,,,,EMEA
138,,,,,,,North America
139,,,,,,,Brazil
140,,,,,,,Brazil
141,,,,,,,SEA
142,,,,,,,SEA
143,,,,,,,SEA
144,,,,,,,SEA
145,,,,,,,SEA
146,,,,,,,SEA
147,,,,,,,SEA
148,,,,,,,SEA
149,,,,,,,Europe
150,,,,,,,Europe
151,,,,,,,Europe
152,,,,,,,Europe
153,,,,,,,Europe
154,,,,,,,Europe
155,,,,,,,Europe
156,,,,,,,Europe
157,,,,,,,Europe
158,,,,,,,Korea
159,,,,,,,EMEA
160,,,,,,,North America
161,,,,,,,EMEA
162,,,,,,,EMEA
163,,,,,,,SEA
164,,,,,,,China
165,,,,,,,EMEA
166,,,,,,,Korea
167,,,,,,,Brazil
168,,,,,,,Korea
169,,,,,,,PCS
170,,,,,,,PCS
171,,,,,,,SEA
172,,,,,,,SEA
173,,,,,,,SEA
174,,,,,,,SEA
175,,,,,,,Latin America
176,,,,,,,Europe
177,,,,,,,SEA
178,,,,,,,SEA
179,,,,,,,China
180,,,,,,,EMEA
181,,,,,,,Korea
182,,,,,,,Europe
183,,,,,,,Europe
184,,,,,,,Latin America
185,,,,,,,LMS
186,,,,,,,LMS
187,,,,,,,PCS
188,,,,,,,China
189,,,,,,,Europe
190,,,,,,,China
191,,,,,,,China
192,,,,,,,Korea
193,,,,,,,EMEA
194,,,,,,,Europe
195,,,,,,,North America
196,,,,,,,North America
197,,,,,,,North America
198,,,,,,,Europe
199,,,,,,,North America
200,,,,,,,North America
201,,,,,,,Europe
202,,,,,,,Vietnam
203,,,,,,,Europe
204,,,,,,,Europe
205,,,,,,,Europe
206,,,,,,,Korea
207,,,,,,,Europe
208,,,,,,,Korea
209,,,,,,,Korea
210,,,,,,,Korea
211,,,,,,,North America
212,,,,,,,North America
213,,,,,,,North America
214,,,,,,,Europe
215,,,,,,,Europe
216,,,,,,,Japan
217,,,,,,,China
218,,,,,,,China
219,,,,,,,North America
220,,,,,,,North America
221,,,,,,,CIS
222,,,,,,,Oceania
223,,,,,,,North America
224,,,,,,,LMS
225,,,,,,,SEA
226,,,,,,,Turkey
227,,,,,,,North America
228,,,,,,,North America
229,,,,,,,LMS
230,,,,,,,North America
231,,,,,,,SEA
232,,,,,,,LMS
233,,,,,,,China
234,,,,,,,LMS
235,,,,,,,North America
236,,,,,,,Japan
237,,,,,,,Korea
238,,,,,,,North America
239,,,,,,,LMS
240,,,,,,,Europe
241,,,,,,,Europe
242,,,,,,,North America
243,,,,,,,LMS
244,,,,,,,China
245,,,,,,,North America
246,,,,,,,Europe
247,,,,,,,North America
248,,,,,,,Europe
249,,,,,,,North America
250,,,,,,,North America
251,,,,,,,LMS
252,,,,,,,SEA
253,,,,,,,North America
254,,,,,,,Europe
255,,,,,,,Europe
256,,,,,,,LMS
257,,,,,,,LMS
258,,,,,,,Europe
259,,,,,,,Korea
260,,,,,,,LMS
261,,,,,,,Europe
262,,,,,,,Europe
263,,,,,,,China
264,,,,,,,North America
265,,,,,,,LMS
266,,,,,,,Brazil
267,,,,,,,North America
268,,,,,,,SEA
269,,,,,,,Europe
270,,,,,,,CIS
271,,,,,,,LAS
272,,,,,,,Europe
273,,,,,,,North America
274,,,,,,,Europe
275,,,,,,,LMS
276,,,,,,,Europe
277,,,,,,,Korea
278,,,,,,,LMS
279,,,,,,,Europe
280,,,,,,,China
281,,,,,,,Europe
282,,,,,,,LMS
283,,,,,,,Europe
284,,,,,,,North America
285,,,,,,,Brazil
286,,,,,,,LMS
287,,,,,,,LMS
288,,,,,,,SEA
289,,,,,,,North America
290,,,,,,,Europe
291,,,,,,,SEA
292,,,,,,,Europe
293,,,,,,,LMS
294,,,,,,,Korea
295,,,,,,,Europe
296,,,,,,,Europe
297,,,,,,,North America
298,,,,,,,LMS
299,,,,,,,Brazil
300,,,,,,,Europe
301,,,,,,,Europe
302,,,,,,,North America
303,,,,,,,LMS
304,,,,,,,Europe
305,,,,,,,Europe
306,,,,,,,LMS
307,,,,,,,LMS
308,,,,,,,Europe
309,,,,,,,North America
310,,,,,,,Vietnam
311,,,,,,,SEA
312,,,,,,,China
313,,,,,,,Europe
314,,,,,,,China
315,,,,,,,Europe
316,,,,,,,Europe
317,,,,,,,Korea
318,,,,,,,LMS
319,,,,,,,LMS
320,,,,,,,LAN
321,,,,,,,China
322,,,,,,,Europe
323,,,,,,,North America
324,,,,,,,Korea
325,,,,,,,China
326,,,,,,,Europe
327,,,,,,,Europe
328,,,,,,,Europe
329,,,,,,,LMS
330,,,,,,,LMS
331,,,,,,,China
332,,,,,,,LMS
333,,,,,,,CIS
334,,,,,,,LAS
335,,,,,,,North America
336,,,,,,,Brazil
337,,,,,,,Oceania
338,,,,,,,Europe
339,,,,,,,Korea
340,,,,,,,Europe
341,,,,,,,Europe
342,,,,,,,LMS
343,,,,,,,LMS
344,,,,,,,Europe
345,,,,,,,Japan
346,,,,,,,China
347,,,,,,,SEA
348,,,,,,,Turkey
349,,,,,,,LMS
350,,,,,,,LMS
351,,,,,,,Europe
352,,,,,,,Brazil
353,,,,,,,North America
354,,,,,,,Oceania
355,,,,,,,China
356,,,,,,,Korea
357,,,,,,,North America
358,,,,,,,Brazil
359,,,,,,,Oceania
360,,,,,,,Europe
361,,,,,,,Europe
362,,,,,,,China
363,,,,,,,SEA
364,,,,,,,North America
365,,,,,,,Europe
366,,,,,,,Europe
367,,,,,,,Europe
368,,,,,,,Korea
369,,,,,,,SEA
370,,,,,,,Brazil
371,,,,,,,China
372,,,,,,,Korea
373,,,,,,,Brazil
374,,,,,,,Europe
375,,,,,,,Brazil
376,,,,,,,China
377,,,,,,,Korea
378,,,,,,,Korea
379,,,,,,,LMS
380,,,,,,,Europe
381,,,,,,,Brazil
382,,,,,,,Europe
383,,,,,,,North America
384,,,,,,,Korea
385,,,,,,,Turkey
386,,,,,,,Brazil
387,,,,,,,China
388,,,,,,,Korea
389,,,,,,,Korea
390,,,,,,,SEA
391,,,,,,,CIS
392,,,,,,,Japan
393,,,,,,,North America
394,,,,,,,Korea
395,,,,,,,LMS
396,,,,,,,LMS
397,,,,,,,LMS
398,,,,,,,Europe
399,,,,,,,Europe
400,,,,,,,Korea
401,,,,,,,LMS
402,,,,,,,China
403,,,,,,,Oceania
404,,,,,,,North America
405,,,,,,,Europe
406,,,,,,,North America
407,,,,,,,Europe
408,,,,,,,Europe
409,,,,,,,Korea
410,,,,,,,CIS
411,,,,,,,SEA
412,,,,,,,LAN
413,,,,,,,Korea
414,,,,,,,Korea
415,,,,,,,China
416,,,,,,,Europe
417,,,,,,,North America
418,,,,,,,Europe
419,,,,,,,Europe
420,,,,,,,LMS
421,,,,,,,China
422,,,,,,,China
423,,,,,,,LMS
424,,,,,,,Korea
425,,,,,,,Korea
426,,,,,,,LMS
427,,,,,,,Europe
428,,,,,,,LMS
429,,,,,,,China
430,,,,,,,Europe
431,,,,,,,China
432,,,,,,,North America
433,,,,,,,LMS
434,,,,,,,LAN
435,,,,,,,Korea
436,,,,,,,Turkey
437,,,,,,,LAS
438,,,,,,,LMS
439,,,,,,,North America
440,,,,,,,Turkey
441,,,,,,,Europe
442,,,,,,,Europe
443,,,,,,,SEA
444,,,,,,,LMS
445,,,,,,,Europe
446,,,,,,,China
447,,,,,,,North America
448,,,,,,,Turkey
449,,,,,,,Japan
450,,,,,,,Europe
451,,,,,,,CIS
452,,,,,,,North America
453,,,,,,,Europe
454,,,,,,,Europe
455,,,,,,,LMS
456,,,,,,,China
457,,,,,,,Europe
458,,,,,,,Oceania
459,,,,,,,China
460,,,,,,,Korea
461,,,,,,,LAS
462,,,,,,,Brazil
463,,,,,,,North America
464,,,,,,,China
465,,,,,,,SEA
466,,,,,,,China
467,,,,,,,Japan
468,,,,,,,Europe
469,,,,,,,Japan
470,,,,,,,SEA
471,,,,,,,SEA
472,,,,,,,LMS
473,,,,,,,North America
474,,,,,,,North America
475,,,,,,,Europe
476,,,,,,,North America
477,,,,,,,SEA
478,,,,,,,Europe
479,,,,,,,Europe
480,,,,,,,Turkey
481,,,,,,,Oceania
482,,,,,,,Oceania
483,,,,,,,Turkey
484,,,,,,,Europe
485,,,,,,,SEA
486,,,,,,,Oceania
487,,,,,,,LMS
488,,,,,,,Turkey
489,,,,,,,Oceania
490,,,,,,,CIS
491,,,,,,,North America
492,,,,,,,North America
493,,,,,,,Oceania
494,,,,,,,LMS
495,,,,,,,Europe
496,,,,,,,Oceania
497,,,,,,,SEA
498,,,,,,,North America
499,,,,,,,Europe
500,,,,,,,North America
501,,,,,,,Korea
502,,,,,,,LAN
503,,,,,,,Europe
504,,,,,,,North America
505,,,,,,,Japan
506,,,,,,,North America
507,,,,,,,Korea
508,,,,,,,LMS
509,,,,,,,Europe
510,,,,,,,LMS
511,,,,,,,North America
512,,,,,,,Brazil
513,,,,,,,Europe
514,,,,,,,Oceania
515,,,,,,,China
516,,,,,,,SEA
517,,,,,,,SEA
518,,,,,,,North America
519,,,,,,,North America
520,,,,,,,Brazil
521,,,,,,,Korea
522,,,,,,,Korea
523,,,,,,,Europe
524,,,,,,,Korea
525,,,,,,,North America
526,,,,,,,China
527,,,,,,,Europe
528,,,,,,,Europe
529,,,,,,,North America
530,,,,,,,LMS
531,,,,,,,Europe
532,,,,,,,North America
533,,,,,,,China
534,,,,,,,Europe
535,,,,,,,Europe
536,,,,,,,North America
537,,,,,,,SEA
538,,,,,,,Europe
539,,,,,,,North America
540,,,,,,,China
541,,,,,,,North America
542,,,,,,,Europe
543,,,,,,,Korea
544,,,,,,,International
545,,,,,,,Brazil
546,,,,,,,CIS
547,,,,,,,LMS
548,,,,,,,North America
549,,,,,,,North America
550,,,,,,,Korea
551,,,,,,,North America
552,,,,,,,Korea
553,,,,,,,Turkey
554,,,,,,,SEA
555,,,,,,,China
556,,,,,,,China
557,,,,,,,China
558,,,,,,,Korea
559,,,,,,,Korea
560,,,,,,,Oceania
561,,,,,,,North America
562,,,,,,,Korea
563,,,,,,,LMS
564,,,,,,,China
565,,,,,,,North America
566,,,,,,,North America
567,,,,,,,LMS
568,,,,,,,LMS
569,,,,,,,North America
570,,,,,,,Korea
571,,,,,,,Korea
572,,,,,,,Turkey
573,,,,,,,North America
574,,,,,,,LMS
575,,,,,,,China
576,,,,,,,Oceania
577,,,,,,,Oceania
578,,,,,,,Europe
579,,,,,,,Brazil
580,,,,,,,SEA
581,,,,,,,China
582,,,,,,,Oceania
583,,,,,,,Europe
584,,,,,,,North America
585,,,,,,,LMS
586,,,,,,,Brazil
587,,,,,,,Vietnam
588,,,,,,,CIS
589,,,,,,,Turkey
590,,,,,,,Japan
591,,,,,,,Europe
592,,,,,,,Europe
593,,,,,,,CIS
594,,,,,,,Japan
595,,,,,,,Japan
596,,,,,,,CIS
597,,,,,,,Korea
598,,,,,,,China
599,,,,,,,China
600,,,,,,,China
601,,,,,,,CIS
602,,,,,,,Turkey
603,,,,,,,North America
604,,,,,,,Europe
605,,,,,,,CIS
606,,,,,,,China
607,,,,,,,LMS
608,,,,,,,Europe
609,,,,,,,Europe
610,,,,,,,Brazil
611,,,,,,,Brazil
612,,,,,,,Oceania
613,,,,,,,Brazil
614,,,,,,,China
615,,,,,,,North America
616,,,,,,,LMS
617,,,,,,,Korea
618,,,,,,,Brazil
619,,,,,,,Europe
620,,,,,,,SEA
621,,,,,,,China
622,,,,,,,Brazil
623,,,,,,,Vietnam
624,,,,,,,Brazil
625,,,,,,,Europe
626,,,,,,,Europe
627,,,,,,,Europe
628,,,,,,,Europe
629,,,,,,,Europe
630,,,,,,,CIS
631,,,,,,,LMS
632,,,,,,,Oceania
633,,,,,,,Europe
634,,,,,,,China
635,,,,,,,Turkey
636,,,,,,,China
637,,,,,,,China
638,,,,,,,Europe
639,,,,,,,Europe
640,,,,,,,SEA
641,,,,,,,Europe
642,,,,,,,Oceania
643,,,,,,,Japan
644,,,,,,,Japan
645,,,,,,,Japan
646,,,,,,,LMS
647,,,,,,,Europe
648,,,,,,,CIS
649,,,,,,,China
650,,,,,,,Europe
651,,,,,,,Europe
652,,,,,,,Europe
653,,,,,,,LMS
654,,,,,,,Oceania
655,,,,,,,Europe
656,,,,,,,China
657,,,,,,,SEA
658,,,,,,,Latin America
659,,,,,,,Europe
660,,,,,,,SEA
661,,,,,,,Brazil
662,,,,,,,China
663,,,,,,,Europe
664,,,,,,,Europe
665,,,,,,,LMS
666,,,,,,,North America
667,,,,,,,Europe
668,,,,,,,Europe
669,,,,,,,Europe
670,,,,,,,Oceania
671,,,,,,,Turkey
672,,,,,,,North America
673,,,,,,,North America
674,,,,,,,Korea
675,,,,,,,Europe
676,,,,,,,Oceania
677,,,,,,,Europe
678,,,,,,,Latin America
679,,,,,,,Europe
680,,,,,,,North America
681,,,,,,,Europe
682,,,,,,,Brazil
683,,,,,,,Japan
684,,,,,,,Europe
685,,,,,,,Europe
686,,,,,,,LMS
687,,,,,,,Latin America
688,,,,,,,Europe
689,,,,,,,Europe
690,,,,,,,North America
691,,,,,,,Europe
692,,,,,,,Europe
693,,,,,,,Europe
694,,,,,,,LMS
695,,,,,,,North America
696,,,,,,,CIS
697,,,,,,,Europe
698,,,,,,,North America
699,,,,,,,Japan
700,,,,,,,Latin America
701,,,,,,,Europe
702,,,,,,,Europe
703,,,,,,,MENA
704,,,,,,,Latin America
705,,,,,,,MENA
706,,,,,,,MENA
707,,,,,,,Europe
708,,,,,,,North America
709,,,,,,,Europe
710,,,,,,,North America
711,,,,,,,Europe
712,,,,,,,Latin America
713,,,,,,,North America
714,,,,,,,Brazil
715,,,,,,,North America
716,,,,,,,Europe
717,,,,,,,LAS
718,,,,,,,China
719,,,,,,,North America
720,,,,,,,Korea
721,,,,,,,Japan
722,,,,,,,LMS
723,,,,,,,Japan
724,,,,,,,China
725,,,,,,,Europe
726,,,,,,,Europe
727,,,,,,,Europe
728,,,,,,,Korea
729,,,,,,,LAN
730,,,,,,,Europe
731,,,,,,,Europe
732,,,,,,,LAS
733,,,,,,,Europe
734,,,,,,,Brazil
735,,,,,,,Latin America
736,,,,,,,Europe
737,,,,,,,LAN
738,,,,,,,China
739,,,,,,,Europe
740,,,,,,,North America
741,,,,,,,Oceania
742,,,,,,,Brazil
743,,,,,,,Korea
744,,,,,,,China
745,,,,,,,Brazil
746,,,,,,,North America
747,,,,,,,Brazil
748,,,,,,,North America
749,,,,,,,Europe
750,,,,,,,CIS
751,,,,,,,Korea
752,,,,,,,China
753,,,,,,,LAS
754,,,,,,,LAS
755,,,,,,,LAS
756,,,,,,,Brazil
757,,,,,,,CIS
758,,,,,,,SEA
759,,,,,,,SEA
760,,,,,,,Japan
761,,,,,,,China
762,,,,,,,Europe
763,,,,,,,Japan
764,,,,,,,Europe
765,,,,,,,Korea
766,,,,,,,Korea
767,,,,,,,Korea
768,,,,,,,Europe
769,,,,,,,Brazil
770,,,,,,,LAN
771,,,,,,,LAN
772,,,,,,,Korea
773,,,,,,,Japan
774,,,,,,,Brazil
775,,,,,,,SEA
776,,,,,,,LMS
777,,,,,,,Europe
778,,,,,,,LAS
