,Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year
2127,Worlds Season 1,WCS,2011-06-18 08:30:00,45:09,against All authority,Epik Gamer,0,1,Epik Gamer,2011
2128,Worlds Season 1,WCS,2011-06-18 09:45:00,29:38,Fnatic,Team Pacific,1,0,Fnatic,2011
2130,Worlds Season 1,WCS,2011-06-18 11:00:00,41:18,against All authority,Fnatic,1,0,against All authority,2011
2129,Worlds Season 1,WCS,2011-06-18 11:00:00,28:55,Epik Gamer,Team Pacific,1,0,Epik Gamer,2011
2131,Worlds Season 1,WCS,2011-06-18 12:15:00,24:13,against All authority,Team Pacific,1,0,against All authority,2011
2132,Worlds Season 1,WCS,2011-06-18 12:15:00,37:02,Epik Gamer,Fnatic,1,0,Epik Gamer,2011
2134,Worlds Season 1,WCS,2011-06-18 14:30:00,47:03,Team gamed!de,Counter Logic Gaming,0,1,Counter Logic Gaming,2011
2133,Worlds Season 1,WCS,2011-06-18 14:30:00,37:41,TSM,Xan,0,1,Xan,2011
2135,Worlds Season 1,WCS,2011-06-18 16:00:00,36:25,Team gamed!de,Xan,1,0,Team gamed!de,2011
2136,Worlds Season 1,WCS,2011-06-18 17:15:00,40:31,TSM,Counter Logic Gaming,1,0,TSM,2011
2138,Worlds Season 1,WCS,2011-06-18 18:30:00,35:02,Counter Logic Gaming,Xan,1,0,Counter Logic Gaming,2011
2137,Worlds Season 1,WCS,2011-06-18 18:30:00,29:37,TSM,Team gamed!de,1,0,TSM,2011
2139,Worlds Season 1,WCS,2011-06-19 09:30:00,32:53,against All authority,Team gamed!de,2,0,against All authority,2011
2140,Worlds Season 1,WCS,2011-06-19 10:45:00,31:14,Counter Logic Gaming,Fnatic,1,1,Fnatic,2011
2141,Worlds Season 1,WCS,2011-06-19 11:45:00,30:48,Fnatic,Counter Logic Gaming,2,1,Fnatic,2011
2142,Worlds Season 1,WCS,2011-06-19 13:00:00,28:54,Team gamed!de,Counter Logic Gaming,0,1,Counter Logic Gaming,2011
2143,Worlds Season 1,WCS,2011-06-19 14:00:00,47:42,TSM,against All authority,1,0,TSM,2011
2144,Worlds Season 1,WCS,2011-06-19 15:00:00,54:25,against All authority,TSM,1,1,against All authority,2011
2145,Worlds Season 1,WCS,2011-06-19 16:00:00,29:33,TSM,against All authority,1,2,against All authority,2011
2146,Worlds Season 1,WCS,2011-06-19 17:00:00,29:44,Epik Gamer,Fnatic,0,1,Fnatic,2011
2147,Worlds Season 1,WCS,2011-06-19 18:00:00,53:43,Fnatic,Epik Gamer,2,0,Fnatic,2011
2148,Worlds Season 1,WCS,2011-06-20 11:30:00,31:46,against All authority,Fnatic,0,1,Fnatic,2011
2149,Worlds Season 1,WCS,2011-06-20 12:30:00,49:05,Fnatic,against All authority,2,0,Fnatic,2011
2150,Worlds Season 1,WCS,2011-06-20 14:00:00,32:41,TSM,Epik Gamer,1,0,TSM,2011
2151,Worlds Season 1,WCS,2011-06-20 15:00:00,59:10,Epik Gamer,TSM,0,2,TSM,2011
2152,Worlds Season 1,WCS,2011-06-20 17:30:00,33:34,against All authority,TSM,2,0,against All authority,2011
2153,Worlds Season 1,WCS,2011-06-20 21:00:00,40:58,Fnatic,against All authority,1,1,against All authority,2011
2154,Worlds Season 1,WCS,2011-06-20 22:00:00,43:57,against All authority,Fnatic,1,2,Fnatic,2011
832,EU Regional Finals Season 2,WCS,2012-08-16 10:00:00,45:41,Fnatic,Team Curse Europe,1,0,Fnatic,2012
833,EU Regional Finals Season 2,WCS,2012-08-16 11:00:00,49:56,Team Curse Europe,Fnatic,0,2,Fnatic,2012
834,EU Regional Finals Season 2,WCS,2012-08-16 13:00:00,21:28,Moscow Five,EloHell,1,0,Moscow Five,2012
835,EU Regional Finals Season 2,WCS,2012-08-16 14:00:00,37:08,EloHell,Moscow Five,0,2,Moscow Five,2012
836,EU Regional Finals Season 2,WCS,2012-08-17 10:00:00,37:58,SK Gaming,Team Acer Poland,1,0,SK Gaming,2012
837,EU Regional Finals Season 2,WCS,2012-08-17 11:00:00,42:55,Team Acer Poland,SK Gaming,0,2,SK Gaming,2012
838,EU Regional Finals Season 2,WCS,2012-08-17 13:00:00,43:36,Counter Logic Gaming Europe,ALTERNATE aTTaX,1,0,Counter Logic Gaming Europe,2012
839,EU Regional Finals Season 2,WCS,2012-08-17 14:00:00,35:12,ALTERNATE aTTaX,Counter Logic Gaming Europe,0,2,Counter Logic Gaming Europe,2012
