,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red
4843,LCK 2016 Spring Promotion,LCK,2015-09-11 08:58:00,Incredible Miracle,Dark Wolves,Incredible Miracle,17.0,6.0,55100.0,41700.0,2.0,1.0,1.0,0.0,,,9.0,1.0,,,2015,IM,KR,DW,KR,IM,KR,Blue
4844,LCK 2016 Spring Promotion,LCK,2015-09-11 09:44:00,Dark Wolves,Incredible Miracle,Dark Wolves,19.0,5.0,59700.0,46700.0,4.0,0.0,1.0,0.0,,,10.0,3.0,,,2015,DW,KR,IM,KR,DW,KR,Blue
4845,LCK 2016 Spring Promotion,LCK,2015-09-11 10:34:00,Incredible Miracle,Dark Wolves,Incredible Miracle,11.0,6.0,67700.0,51300.0,2.0,2.0,2.0,0.0,,,11.0,1.0,,,2015,IM,KR,DW,KR,IM,KR,Blue
4846,LCK 2016 Spring Promotion,LCK,2015-09-11 11:28:00,Dark Wolves,Incredible Miracle,Incredible Miracle,2.0,20.0,33000.0,50900.0,0.0,3.0,0.0,1.0,,,0.0,8.0,,,2015,DW,KR,IM,KR,IM,KR,Red
4847,LCK 2016 Spring Promotion,LCK,2015-09-12 08:45:00,SBENU Sonicboom,ESC Ever,SBENU Sonicboom,10.0,2.0,74000.0,65200.0,5.0,2.0,2.0,0.0,,,10.0,4.0,,,2015,,NA,ESC,KR,,NA,Blue
4848,LCK 2016 Spring Promotion,LCK,2015-09-12 09:59:00,ESC Ever,SBENU Sonicboom,ESC Ever,7.0,7.0,83200.0,84600.0,2.0,3.0,0.0,2.0,,,8.0,8.0,,,2015,ESC,KR,,NA,ESC,KR,Blue
4849,LCK 2016 Spring Promotion,LCK,2015-09-12 11:15:00,SBENU Sonicboom,ESC Ever,SBENU Sonicboom,21.0,6.0,70500.0,57100.0,4.0,1.0,1.0,0.0,,,8.0,4.0,,,2015,,NA,ESC,KR,,NA,Blue
4850,LCK 2016 Spring Promotion,LCK,2015-09-12 12:10:00,ESC Ever,SBENU Sonicboom,SBENU Sonicboom,4.0,19.0,46900.0,55800.0,1.0,3.0,0.0,1.0,,,3.0,7.0,,,2015,ESC,KR,,NA,,NA,Red
4974,LCK 2016 Spring,LCK,2016-01-13 08:01:00,CJ Entus,SK Telecom T1,SK Telecom T1,1.0,22.0,42600.0,61800.0,0.0,2.0,0.0,1.0,,,1.0,11.0,,,2016,CJ,KR,T1,KR,T1,KR,Red
4975,LCK 2016 Spring,LCK,2016-01-13 08:51:00,SK Telecom T1,CJ Entus,SK Telecom T1,12.0,8.0,83700.0,70700.0,3.0,2.0,1.0,0.0,,,11.0,3.0,,,2016,T1,KR,CJ,KR,T1,KR,Blue
