Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red
Worlds Season 1,WCS,2011-06-18 08:30:00,against All authority,Epik Gamer,Epik Gamer,,,,,,,,,,,,,,,2011,aAa,EMEA,EPIK,NA,EPIK,NA,Red
Worlds Season 1,WCS,2011-06-18 09:45:00,Fnatic,Team Pacific,Fnatic,,,,,,,,,,,,,,,2011,FNC,EMEA,PCFC,PCS,FNC,EMEA,Blue
Worlds Season 1,WCS,2011-06-18 11:00:00,Epik Gamer,Team Pacific,Epik Gamer,,,,,,,,,,,,,,,2011,EPIK,NA,PCFC,PCS,EPIK,NA,Blue
Worlds Season 1,WCS,2011-06-18 11:00:00,against All authority,Fnatic,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,FNC,EMEA,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-18 12:15:00,against All authority,Team Pacific,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,PCFC,PCS,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-18 12:15:00,Epik Gamer,Fnatic,Epik Gamer,,,,,,,,,,,,,,,2011,EPIK,NA,FNC,EMEA,EPIK,NA,Blue
Worlds Season 1,WCS,2011-06-18 14:30:00,TSM,Xan,Xan,,,,,,,,,,,,,,,2011,TSM,NA,XAN,PCS,XAN,PCS,Red
Worlds Season 1,WCS,2011-06-18 14:30:00,Team gamed!de,Counter Logic Gaming,Counter Logic Gaming,,,,,,,,,,,,,,,2011,GDE,EMEA,CLG,NA,CLG,NA,Red
Worlds Season 1,WCS,2011-06-18 16:00:00,Team gamed!de,Xan,Team gamed!de,,,,,,,,,,,,,,,2011,GDE,EMEA,XAN,PCS,GDE,EMEA,Blue
Worlds Season 1,WCS,2011-06-18 17:15:00,TSM,Counter Logic Gaming,TSM,,,,,,,,,,,,,,,2011,TSM,NA,CLG,NA,TSM,NA,Blue
Worlds Season 1,WCS,2011-06-18 18:30:00,TSM,Team gamed!de,TSM,,,,,,,,,,,,,,,2011,TSM,NA,GDE,EMEA,TSM,NA,Blue
Worlds Season 1,WCS,2011-06-18 18:30:00,Counter Logic Gaming,Xan,Counter Logic Gaming,,,,,,,,,,,,,,,2011,CLG,NA,XAN,PCS,CLG,NA,Blue
Worlds Season 1,WCS,2011-06-19 09:30:00,against All authority,Team gamed!de,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,GDE,EMEA,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-19 10:45:00,Counter Logic Gaming,Fnatic,Fnatic,,,,,,,,,,,,,,,2011,CLG,NA,FNC,EMEA,FNC,EMEA,Red
Worlds Season 1,WCS,2011-06-19 11:45:00,Fnatic,Counter Logic Gaming,Fnatic,,,,,,,,,,,,,,,2011,FNC,EMEA,CLG,NA,FNC,EMEA,Blue
Worlds Season 1,WCS,2011-06-19 13:00:00,Team gamed!de,Counter Logic Gaming,Counter Logic Gaming,,,,,,,,,,,,,,,2011,GDE,EMEA,CLG,NA,CLG,NA,Red
Worlds Season 1,WCS,2011-06-19 14:00:00,TSM,against All authority,TSM,,,,,,,,,,,,,,,2011,TSM,NA,aAa,EMEA,TSM,NA,Blue
Worlds Season 1,WCS,2011-06-19 15:00:00,against All authority,TSM,against All authority,,,,,,,,,,,,,,,2011,aAa,EMEA,TSM,NA,aAa,EMEA,Blue
Worlds Season 1,WCS,2011-06-19 16:00:00,TSM,against All authority,against All authority,,,,,,,,,,,,,,,2011,TSM,NA,aAa,EMEA,aAa,EMEA,Red
Worlds Season 1,WCS,2011-06-19 17:00:00,Epik Gamer,Fnatic,Fnatic,,,,,,,,,,,,,,,2011,EPIK,NA,FNC,EMEA,FNC,EMEA,Red
Worlds Season 1,WCS,2011-06-19 18:00:00,Fnatic,Epik Gamer,Fnatic,,,,,,,,,,,,,,,2011,FNC,EMEA,EPIK,NA,FNC,EMEA,Blue
