,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red,Win_RiftHeralds,Lose_RiftHeralds,Win_Towers,Lose_Towers,Win_Inhibitors,Lose_Inhibitors,Win_Kills,Lose_Kills,Win_Dragons,Lose_Dragons,Win_Barons,Lose_Barons
7690,OPL 2016 Split 2,OPL,2016-07-27 07:33:00,Dire Wolves,Legacy Esports,Legacy Esports,7,13,63142,68456,1,3,0,2,0,1,5,9,0,2,2016,DW,PCS,LGC,PCS,LGC,PCS,Red,1,0,9,5,2,0,13,7,3,1,2,0
7695,OPL 2016 Split 2,OPL,2016-07-27 09:42:00,Abyss Esports,Tainted Minds,Tainted Minds,4,11,57429,66348,1,4,0,1,0,0,4,9,0,1,2016,ABY,PCS,TM,PCS,TM,PCS,Red,0,0,9,4,1,0,11,4,4,1,1,0
8069,LLN 2017 Opening Promotion,LLN,2016-08-16 21:25:00,BrawL eSports,INFINITY,INFINITY,4,11,60100,73500,3,1,0,1,0,1,3,9,0,1,2016,BWL,INT,INF,LAT,INF,LAT,Red,1,0,9,3,1,0,11,4,1,3,1,0
8070,LLN 2017 Opening Promotion,LLN,2016-08-16 22:47:00,BrawL eSports,INFINITY,INFINITY,5,17,47300,59000,0,3,0,1,0,1,2,10,0,2,2016,BWL,INT,INF,LAT,INF,LAT,Red,1,0,10,2,2,0,17,5,3,0,1,0
8071,LLN 2017 Opening Promotion,LLN,2016-08-16 23:44:00,INFINITY,BrawL eSports,INFINITY,21,17,70900,69000,2,2,0,1,0,0,9,5,3,0,2016,INF,LAT,BWL,INT,INF,LAT,Blue,0,0,9,5,3,0,21,17,2,2,0,1
8199,LLN 2017 Opening Expansion,LLN,2016-09-01 23:30:00,Infamous Gaming,Satori,Infamous Gaming,15,11,63900,51400,3,0,1,0,0,0,11,3,2,0,2016,IFG,INT,Satori,INT,IFG,INT,Blue,0,0,11,3,2,0,15,11,3,0,1,0
8200,LLN 2017 Opening Expansion,LLN,2016-09-01 23:31:00,Silver Crows,Authority E-sports,Authority E-sports,4,14,68900,84200,1,3,0,1,0,0,2,9,0,1,2016,SC,INT,AES,INT,AES,INT,Red,0,0,9,2,1,0,14,4,3,1,1,0
8201,LLN 2017 Opening Expansion,LLN,2016-09-02 01:29:00,Dash9 Gaming,Darkness Eagles Esports,Dash9 Gaming,19,8,57300,46100,3,1,1,0,1,0,8,0,2,0,2016,D9,INT,DEGs,INT,D9,INT,Blue,1,0,8,0,2,0,19,8,3,1,1,0
8202,LLN 2017 Opening Expansion,LLN,2016-09-02 02:43:00,Satori,Infamous Gaming,Infamous Gaming,11,32,59000,71600,1,2,0,1,0,0,5,8,0,1,2016,Satori,INT,IFG,INT,IFG,INT,Red,0,0,8,5,1,0,32,11,2,1,1,0
8203,LLN 2017 Opening Expansion,LLN,2016-09-02 02:45:00,Darkness Eagles Esports,Dash9 Gaming,Dash9 Gaming,17,31,67500,82200,1,5,0,1,0,0,2,10,0,2,2016,DEGs,INT,D9,INT,D9,INT,Red,0,0,10,2,2,0,31,17,5,1,1,0
8205,LLN 2017 Opening Expansion,LLN,2016-09-02 03:03:00,Authority E-sports,Silver Crows,Authority E-sports,13,8,69000,64000,3,1,0,0,0,0,9,3,2,0,2016,AES,INT,SC,INT,AES,INT,Blue,0,0,9,3,2,0,13,8,3,1,0,0
8210,LLN 2017 Opening Expansion,LLN,2016-09-03 01:27:00,Satori,6Sense,Satori,31,24,92700,85800,2,2,2,1,1,0,9,7,2,0,2016,Satori,INT,6SN,LAT,Satori,INT,Blue,1,0,9,7,2,0,31,24,2,2,2,1
8212,LLN 2017 Opening Expansion,LLN,2016-09-03 01:28:00,Dash9 Gaming,Authority E-sports,Dash9 Gaming,19,6,62400,48400,1,3,1,0,0,0,10,3,2,0,2016,D9,INT,AES,INT,D9,INT,Blue,0,0,10,3,2,0,19,6,1,3,1,0
8213,LLN 2017 Opening Expansion,LLN,2016-09-03 01:29:00,Darkness Eagles Esports,Silver Crows,Silver Crows,13,22,57900,69500,0,4,0,1,0,1,2,9,0,1,2016,DEGs,INT,SC,INT,SC,INT,Red,1,0,9,2,1,0,22,13,4,0,1,0
8215,LLN 2017 Opening Expansion,LLN,2016-09-03 02:50:00,Silver Crows,Darkness Eagles Esports,Silver Crows,22,18,68600,63000,1,3,0,1,1,0,9,2,2,0,2016,SC,INT,DEGs,INT,SC,INT,Blue,1,0,9,2,2,0,22,18,1,3,0,1
8216,LLN 2017 Opening Expansion,LLN,2016-09-03 03:01:00,Authority E-sports,Dash9 Gaming,Dash9 Gaming,12,27,44700,60500,0,4,0,1,0,1,2,11,0,3,2016,AES,INT,D9,INT,D9,INT,Red,1,0,11,2,3,0,27,12,4,0,1,0
8217,LLN 2017 Opening Expansion,LLN,2016-09-03 03:06:00,6Sense,Satori,Satori,15,25,56700,66700,0,4,0,1,0,0,4,10,0,2,2016,6SN,LAT,Satori,INT,Satori,INT,Red,0,0,10,4,2,0,25,15,4,0,1,0
8233,LLN 2017 Opening Expansion,LLN,2016-09-03 19:12:00,Authority E-sports,Satori,Satori,7,14,57900,67300,1,2,0,0,0,1,3,10,0,1,2016,AES,INT,Satori,INT,Satori,INT,Red,1,0,10,3,1,0,14,7,2,1,0,0
8237,LLN 2017 Opening Expansion,LLN,2016-09-03 21:04:00,Satori,Authority E-sports,Satori,14,6,47500,36900,2,0,0,0,0,0,8,0,1,0,2016,Satori,INT,AES,INT,Satori,INT,Blue,0,0,8,0,1,0,14,6,2,0,0,0
8251,LLN 2017 Opening Expansion,LLN,2016-09-04 19:16:00,Satori,Silver Crows,Silver Crows,2,13,53700,65500,1,2,0,1,0,0,4,11,0,3,2016,Satori,INT,SC,INT,SC,INT,Red,0,0,11,4,3,0,13,2,2,1,1,0
