Team,Team_abbr,Region_code
00 Nation,00N,EMEA
00 Prospects,00P,EMEA
1 Trick Ponies,1TP,NA
1. Berliner Esport-Club e.V.,BESC,EMEA
100 Thieves,100,NA
100 Thieves Academy,100.A,NA
100 Thieves Challengers,100C,NA
100 Thieves Next,100X,NA
13Noobz Gaming,13N,NA
17 Academy,17A,INT
19esports,19,LAT
2144 Danmu Gaming,2144D,CN
2144 Gaming,2144,CN
269 Gaming,269,PCS
2Kill Gaming,2K,BR
300,300,NA
34united e-Sports Club,34U,EMEA
3BL Esports,3BL,EMEA
3D Revolution,3DR,EMEA
3DMAX,3DMAX,EMEA
3sUP Enterprises,3sUP,EMEA
404 Multigaming e.V.,404,EMEA
42 Gaming,42,EMEA
4Elements Esports,4E,EMEA
4Elements Scuttle Squad,SSQ,EMEA
4everzenzyg,4ZE,EMEA
4Kings,4K,EMEA
4moD,4moD,PCS
5 Hydra Esport,5H,EMEA
5 Ronin,5R,EMEA
5 Ronin Academy,5R.A,EMEA
5Fox E-Sports Club,5Fox,BR
6Sense,6SN,LAT
7more7 Black,77.B,EMEA
7more7 Pompa Team,PT7,EMEA
7more7 Pompa Team Academy,7PT.A,EMEA
7more7 White,77.W,EMEA
7th heaven,7h,JP
7th heaven X,7hX,JP
9z Team,9Z,LAT
A One Man Army,AOMA,EMEA
AaB Esport,AaB,EMEA
Absolute,ABS,PCS
Absolute Legends,AL,EMEA
Absolute Legends CZSK,AL,EMEA
Absolute Legends NA,AL,NA
Absolute Legends Netherlands,AL,EMEA
Absolute Legends Singapore,AL,PCS
Absolved,ABV,EMEA
Absolved Female,ABV.F,EMEA
Abyss Academy,ABY,PCS
Abyss Esports,ABY,PCS
Abyssal Esport Club,ABY,EMEA
Acclaim EmpireX,AEX,PCS
ACE 1,A1,LAT
AceGaming,ACE,EMEA
Acer Green Team,AGT,PCS
AceS GaminG,ACS,LAT
Aces High Esports Club,AH,EMEA
AceZone e-Sports,aZ,BR
AcFun e-Sports Club,ACF,CN
ACTINA PACT,PCT,EMEA
Action Per Minute,APM,EMEA
Action Team eSports,ATE,BR
Activit-E,aVe,EMEA
AD Gaming,ADG,CN
ad hoc gaming,AHG,EMEA
ad hoc gaming Gentlemen's Club,AHG.GC,EMEA
Adive,Adive,EMEA
Adriatic Wolves,AW,EMEA
Adverse,ADV,EMEA
Aegis,AEG,EMEA
Aequilibritas E-Sports,AeQ,EMEA
