,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
1810,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 19:00:00,TSM,Disciples of Da Gr8 Whale Lord,2,0,1
1809,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 19:00:00,Counter Logic Gaming,Epik Gamer,1,2,2
1812,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 21:00:00,Rock Solid,OGODBEARS,2,0,1
1811,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 21:00:00,compLexity Gaming,Defy All Odds,2,0,1
1814,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 23:00:00,Epik Gamer,Rock Solid,2,1,1
1813,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-28 23:00:00,Counter Logic Gaming,OGODBEARS,2,0,1
1816,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 01:00:00,Defy All Odds,Disciples of Da Gr8 Whale Lord,2,0,1
1815,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 01:00:00,compLexity Gaming,TSM,0,2,2
1819,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 03:00:00,Rock Solid,Defy All Odds,2,0,1
1818,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 03:00:00,Epik Gamer,TSM,2,0,1
1817,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 03:00:00,compLexity Gaming,Counter Logic Gaming,0,2,2
1820,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 18:00:00,Counter Logic Gaming,Rock Solid,2,1,1
1821,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 20:30:00,TSM,Counter Logic Gaming,2,1,1
1822,Worlds Season 1 Qualifier - NA,World Championship,WCS,2011-05-29 23:00:00,Epik Gamer,TSM,0,2,2
1787,Worlds Season 1,World Championship,WCS,2011-06-18 08:30:00,against All authority,Epik Gamer,0,1,2
1788,Worlds Season 1,World Championship,WCS,2011-06-18 09:45:00,Fnatic,Team Pacific,1,0,1
1789,Worlds Season 1,World Championship,WCS,2011-06-18 11:00:00,against All authority,Fnatic,1,0,1
1790,Worlds Season 1,World Championship,WCS,2011-06-18 11:00:00,Epik Gamer,Team Pacific,1,0,1
1792,Worlds Season 1,World Championship,WCS,2011-06-18 12:15:00,Epik Gamer,Fnatic,1,0,1
1791,Worlds Season 1,World Championship,WCS,2011-06-18 12:15:00,against All authority,Team Pacific,1,0,1
1794,Worlds Season 1,World Championship,WCS,2011-06-18 14:30:00,TSM,Xan,0,1,2
1793,Worlds Season 1,World Championship,WCS,2011-06-18 14:30:00,Team gamed!de,Counter Logic Gaming,0,1,2
1795,Worlds Season 1,World Championship,WCS,2011-06-18 16:00:00,Team gamed!de,Xan,1,0,1
1796,Worlds Season 1,World Championship,WCS,2011-06-18 17:15:00,TSM,Counter Logic Gaming,1,0,1
1798,Worlds Season 1,World Championship,WCS,2011-06-18 18:30:00,TSM,Team gamed!de,1,0,1
1797,Worlds Season 1,World Championship,WCS,2011-06-18 18:30:00,Counter Logic Gaming,Xan,1,0,1
1799,Worlds Season 1,World Championship,WCS,2011-06-19 09:30:00,against All authority,Team gamed!de,2,0,1
1800,Worlds Season 1,World Championship,WCS,2011-06-19 10:45:00,Counter Logic Gaming,Fnatic,1,2,2
1801,Worlds Season 1,World Championship,WCS,2011-06-19 13:00:00,Team gamed!de,Counter Logic Gaming,0,1,2
1802,Worlds Season 1,World Championship,WCS,2011-06-19 14:00:00,against All authority,TSM,2,1,1
1803,Worlds Season 1,World Championship,WCS,2011-06-19 18:00:00,Epik Gamer,Fnatic,0,2,2
1804,Worlds Season 1,World Championship,WCS,2011-06-20 11:30:00,against All authority,Fnatic,0,2,2
1805,Worlds Season 1,World Championship,WCS,2011-06-20 14:00:00,TSM,Epik Gamer,2,0,1
1806,Worlds Season 1,World Championship,WCS,2011-06-20 17:30:00,against All authority,TSM,2,0,1
1807,Worlds Season 1,World Championship,WCS,2011-06-20 21:00:00,Fnatic,against All authority,2,1,1
0,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Bangkok Titans,Saigon Jokers,0,1,2
7,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Saigon Jokers,1,0,1
3,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Saigon Jokers,Singapore Sentinels,0,1,2
4,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Singapore Sentinels,Kuala Lumpur Hunters,1,0,1
5,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Singapore Sentinels,Manila Eagles,1,0,1
6,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Bangkok Titans,1,0,1
8,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Kuala Lumpur Hunters,1,0,1
9,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Taipei Assassins,Singapore Sentinels,1,0,1
10,GPL 2012 Opening Event,Garena Premier League,GPL,2012-05-06 07:59:00,Tt Dragons Taiwan,CrossGaming,0,1,2
