,Tournament,League,Link,DateTime UTC,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Team,ID,Nationality,Country,Birthdate,Region,Short
0,All-Star 2015 Los Angeles,2015 ASE,Amazing (Maurice Stückenschneider),2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
1,All-Star 2015 Los Angeles,2015 ASE,Amazing (Maurice Stückenschneider),2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
2,All-Star 2015 Los Angeles,2015 ASE,Amazing (Maurice Stückenschneider),2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
3,All-Star 2015 Los Angeles,2015 ASE,Amazing (Maurice Stückenschneider),2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
4,All-Star 2015 Los Angeles,2015 ASE,Amazing (Maurice Stückenschneider),2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
5,All-Star 2015 Los Angeles,2015 ASE,Amazing (Maurice Stückenschneider),2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
6,All-Star 2015 Los Angeles,2015 ASE,Amazing (Maurice Stückenschneider),2015-12-14 04:06:00,32:46,Team Ice,Team Fire,0,2,Team Fire,,,,,,,
7,All-Star 2015 Los Angeles,2015 ASE,Aphromoo,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
8,All-Star 2015 Los Angeles,2015 ASE,Aphromoo,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
9,All-Star 2015 Los Angeles,2015 ASE,Aphromoo,2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
10,All-Star 2015 Los Angeles,2015 ASE,bebe (Chang Bo-Wei),2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
11,All-Star 2015 Los Angeles,2015 ASE,bebe (Chang Bo-Wei),2015-12-12 03:52:00,31:24,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
12,All-Star 2015 Los Angeles,2015 ASE,bebe (Chang Bo-Wei),2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
13,All-Star 2015 Los Angeles,2015 ASE,Bjergsen,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
14,All-Star 2015 Los Angeles,2015 ASE,Bjergsen,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
15,All-Star 2015 Los Angeles,2015 ASE,Bjergsen,2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
16,All-Star 2015 Los Angeles,2015 ASE,Clearlove,2015-12-11 04:39:00,29:04,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
17,All-Star 2015 Los Angeles,2015 ASE,Clearlove,2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
18,All-Star 2015 Los Angeles,2015 ASE,Clearlove,2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
19,All-Star 2015 Los Angeles,2015 ASE,DimaJke,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
20,All-Star 2015 Los Angeles,2015 ASE,DimaJke,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
21,All-Star 2015 Los Angeles,2015 ASE,DimaJke,2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
22,All-Star 2015 Los Angeles,2015 ASE,Dimonko,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
23,All-Star 2015 Los Angeles,2015 ASE,Dimonko,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
24,All-Star 2015 Los Angeles,2015 ASE,Dimonko,2015-12-13 02:09:00,29:46,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
25,All-Star 2015 Los Angeles,2015 ASE,Doublelift,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
26,All-Star 2015 Los Angeles,2015 ASE,Doublelift,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
27,All-Star 2015 Los Angeles,2015 ASE,Doublelift,2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
28,All-Star 2015 Los Angeles,2015 ASE,Dyrus,2015-12-11 01:05:00,27:33,Team Ice,Team Fire,1,0,Team Ice,,,,,,,
29,All-Star 2015 Los Angeles,2015 ASE,Dyrus,2015-12-12 00:57:00,34:44,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
30,All-Star 2015 Los Angeles,2015 ASE,Dyrus,2015-12-13 03:59:00,39:10,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
31,All-Star 2015 Los Angeles,2015 ASE,Faker,2015-12-11 06:59:00,22:22,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
32,All-Star 2015 Los Angeles,2015 ASE,Faker,2015-12-12 05:38:00,33:05,Team Ice,Team Fire,0,1,Team Fire,,,,,,,
33,All-Star 2015 Los Angeles,2015 ASE,Faker,2015-12-12 22:43:00,33:06,Team Fire,Team Ice,0,1,Team Ice,,,,,,,
34,All-Star 2015 Los Angeles,2015 ASE,Faker,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
35,All-Star 2015 Los Angeles,2015 ASE,Faker,2015-12-14 03:12:00,28:57,Team Fire,Team Ice,1,0,Team Fire,,,,,,,
