,Team,ID,Nationality,Country,Birthdate,Region,Short
0,,,,,,EMEA,SMB
1,,,,,,EMEA,KOI
2,,,,,,EMEA,HRTS
3,,,,,,EMEA,AUX
4,,,,,,EMEA,BLX
5,,,,,,EMEA,5R
6,,,,,,EMEA,VAE
7,,,,,,Europe,RCN
8,,,,,,Latin America,19
9,,,,,,EMEA,MGN
10,,,,,,EMEA,404
11,,,,,,EMEA,KOI.A
12,,,,,,Vietnam,FTV
13,,,,,,Vietnam,SGD
14,,,,,,Vietnam,VGA
15,,,,,,Vietnam,LK
16,,,,,,Vietnam,TS
17,,,,,,Vietnam,OPG
18,,,,,,Vietnam,PER
19,,,,,,Vietnam,UTM
20,,,,,,Vietnam,LX
21,,,,,,Vietnam,PES
22,,,,,,EMEA,LTG
23,,,,,,Brazil,ITX
24,,,,,,EMEA,KnF
25,,,,,,EMEA,LDS
26,,,,,,North America,100.A
27,,,,,,Vietnam,CES
28,,,,,,Latin America,ZLT
29,,,,,,Latin America,ANH
30,,,,,,LAN,JTH
31,,,,,,LAN,LYN
32,,,,,,Latin America,INF.A
33,,,,,,Latin America,XTN
34,,,,,,EMEA,ARA
35,,,,,,PCS,TPCU
36,,,,,,Europe,DD
37,,,,,,CIS,TJ
38,,,,,,PCS,CST
39,,,,,,PCS,LCVS
40,,,,,,PCS,TNU
41,,,,,,Europe,5K
42,,,,,,Korea,BtC
43,,,,,,Europe,UOL
44,,,,,,Korea,ESC
45,,,,,,Europe,RGESC EUW
46,,,,,,Europe,TTD
47,,,,,,North America,DWNS
48,,,,,,North America,ANW.A
49,,,,,,North America,SNDM
50,,,,,,North America,ZEN
51,,,,,,Europe,QLS
52,,,,,,Europe,KVM
53,,,,,,Europe,ATR
54,,,,,,Europe,RSCA
55,,,,,,China,LNG
56,,,,,,China,VG
57,,,,,,Latin America,GOT
58,,,,,,North America,IMT.A
59,,,,,,Turkey,SMB.A
60,,,,,,Europe,OFF7
61,,,,,,LAN,BWL
62,,,,,,SEA,FL
63,,,,,,Europe,P11
64,,,,,,EMEA,OSV
65,,,,,,Europe,ZPR.A
66,,,,,,Europe,KR
67,,,,,,Europe,XY
68,,,,,,North America,CAL
69,,,,,,North America,DARE.W
70,,,,,,EMEA,JTF
71,,,,,,North America,TSM.A
72,,,,,,SEA,iSE
73,,,,,,SEA,PCHC
74,,,,,,MENA,KO
75,,,,,,SEA,ZOT
76,,,,,,SEA,IPN.L
77,,,,,,SEA,iSR
78,,,,,,SEA,iSL
79,,,,,,Europe,ES
80,,,,,,SEA,SHG
81,,,,,,EMEA,LCT
82,,,,,,LMS,AF
83,,,,,,PCS,VL
84,,,,,,EMEA,LGN
85,,,,,,EMEA,AEG
86,,,,,,North America,TONY
87,,,,,,Brazil,IDM
88,,,,,,Brazil,PWT
89,,,,,,SEA,nxl
90,,,,,,SEA,Pondok
91,,,,,,SEA,Kanaya
92,,,,,,SEA,DIAB
93,,,,,,SEA,Fortius
94,,,,,,SEA,J2G
95,,,,,,SEA,HH
96,,,,,,SEA,AP
97,,,,,,Europe,S2V.A
98,,,,,,Europe,G2AR
99,,,,,,Europe,S2V
100,,,,,,Europe,NB.
101,,,,,,Europe,VIP
102,,,,,,Europe,JDXL
103,,,,,,Europe,MKS
