Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year
Worlds Season 1,WCS,2011-06-18 08:30:00,45:09,against All authority,Epik Gamer,0,1,Epik Gamer,2011
Worlds Season 1,WCS,2011-06-18 09:45:00,29:38,Fnatic,Team Pacific,1,0,Fnatic,2011
Worlds Season 1,WCS,2011-06-18 11:00:00,41:18,against All authority,Fnatic,1,0,against All authority,2011
Worlds Season 1,WCS,2011-06-18 11:00:00,28:55,Epik Gamer,Team Pacific,1,0,Epik Gamer,2011
Worlds Season 1,WCS,2011-06-18 12:15:00,37:02,Epik Gamer,Fnatic,1,0,Epik Gamer,2011
Worlds Season 1,WCS,2011-06-18 12:15:00,24:13,against All authority,Team Pacific,1,0,against All authority,2011
Worlds Season 1,WCS,2011-06-18 14:30:00,47:03,Team gamed!de,Counter Logic Gaming,0,1,Counter Logic Gaming,2011
Worlds Season 1,WCS,2011-06-18 14:30:00,37:41,TSM,Xan,0,1,Xan,2011
Worlds Season 1,WCS,2011-06-18 16:00:00,36:25,Team gamed!de,Xan,1,0,Team gamed!de,2011
Worlds Season 1,WCS,2011-06-18 17:15:00,40:31,TSM,Counter Logic Gaming,1,0,TSM,2011
Worlds Season 1,WCS,2011-06-18 18:30:00,29:37,TSM,Team gamed!de,1,0,TSM,2011
Worlds Season 1,WCS,2011-06-18 18:30:00,35:02,Counter Logic Gaming,Xan,1,0,Counter Logic Gaming,2011
Worlds Season 1,WCS,2011-06-19 09:30:00,32:53,against All authority,Team gamed!de,2,0,against All authority,2011
Worlds Season 1,WCS,2011-06-19 10:45:00,31:14,Counter Logic Gaming,Fnatic,1,1,Fnatic,2011
Worlds Season 1,WCS,2011-06-19 11:45:00,30:48,Fnatic,Counter Logic Gaming,2,1,Fnatic,2011
Worlds Season 1,WCS,2011-06-19 13:00:00,28:54,Team gamed!de,Counter Logic Gaming,0,1,Counter Logic Gaming,2011
Worlds Season 1,WCS,2011-06-19 14:00:00,47:42,TSM,against All authority,1,0,TSM,2011
Worlds Season 1,WCS,2011-06-19 15:00:00,54:25,against All authority,TSM,1,1,against All authority,2011
Worlds Season 1,WCS,2011-06-19 16:00:00,29:33,TSM,against All authority,1,2,against All authority,2011
Worlds Season 1,WCS,2011-06-19 17:00:00,29:44,Epik Gamer,Fnatic,0,1,Fnatic,2011
Worlds Season 1,WCS,2011-06-19 18:00:00,53:43,Fnatic,Epik Gamer,2,0,Fnatic,2011
Worlds Season 1,WCS,2011-06-20 11:30:00,31:46,against All authority,Fnatic,0,1,Fnatic,2011
Worlds Season 1,WCS,2011-06-20 12:30:00,49:05,Fnatic,against All authority,2,0,Fnatic,2011
Worlds Season 1,WCS,2011-06-20 14:00:00,32:41,TSM,Epik Gamer,1,0,TSM,2011
Worlds Season 1,WCS,2011-06-20 15:00:00,59:10,Epik Gamer,TSM,0,2,TSM,2011
Worlds Season 1,WCS,2011-06-20 17:30:00,33:34,against All authority,TSM,2,0,against All authority,2011
Worlds Season 1,WCS,2011-06-20 21:00:00,40:58,Fnatic,against All authority,1,1,against All authority,2011
