Teams ,Status,Abbr,Region,History
Against_All_authority,Disbanded,,,Y
Counter_Logic_Gaming,Merged,NRG,NA,Y
Epik_Gamer,Disbanded,,,Y
Fnatic,Active,FNC,EMEA,Y
Xan,Disbanded,,,Y
Team_gamed_21-de,Disbanded,,,Y
Pacific_eSports,Disbanded,,,Y
TSM,Active,TSM,NA,Y
Azubu_Frost,Disbanded,,,Y
Counter_Logic_Gaming_Europe,Merged,NRG,NA,Y
Dignitas,Active,DIG,NA,Y
Invictus_Gaming,Active,iG,CN,Y
Moscow_Five,Disbanded,,,Y
NaJin_Black_Sword,Disbanded,,,Y
Saigon_Jokers,Disbanded,,,Y
SK_Gaming,Active,SK,EMEA,Y
Taipei_Assassins,Merged,JT,PCS,Y
Team_WE,Active,WE,CN,Y
Cloud9,Active,C9,NA,Y
Gamania_Bears,Disbanded,,,Y
Gambit_Gaming,Disbanded,,,Y
GamingGear_2e-eu,Disbanded,,,Y
Lemondogs,Disbanded,,,Y
Mineski,Disbanded,,,Y
Oh_My_God,Active,OMG,CN,Y
Royal_Club,Active,RYL,CN,Y
Samsung_White,Disbanded,,,Y
SK_Telecom_T1,Merged,T1,KR,Y
Team_Vulcun,Disbanded,,,Y
Ahq_eSports_Club,Disbanded,,,Y
Alliance,Disbanded,,,Y
Dark_Passage,Active,DP,TCL,Y
EDward_Gaming,Active,EDG,CN,Y
KaBuM_21-_Esports,Active,KBM,BR,Y
LMQ,Disbanded,,,Y
NaJin_White_Shield,Disbanded,,,Y
Samsung_Blue,Disbanded,,,Y
Bangkok_Titans,Disbanded,,,Y
Flash_Wolves,Disbanded,,,Y
H2k_2d-Gaming,Disbanded,,,Y
ROX_Tigers,Merged,HLE,KR,Y
KT_Rolster,Active,KT,KR,Y
LGD_Gaming,Active,LGD,CN,Y
Origen,Disbanded,,,Y
PaiN_Gaming,Active,paIN,BR,Y
Albus_NoX_Luna,Disbanded,,,Y
G2_Esports,Active,G2,EMEA,Y
I_May,Merged,BBG,CN,Y
INTZ,Active,INTZ,BR,Y
Royal_Never_Give_Up,Active,RNG,CN,Y
Samsung_Galaxy,Disbanded,,,Y
Splyce,Merged,MAD,EMEA,Y
Dire_Wolves,Active,GCD,PCS,Y
Fenerbah_c3-_a7-e_Esports,Disbanded,,,Y
Gambit_Esports,Disbanded,,,Y
Hong_Kong_Attitude,Disbanded,,,Y
Kaos_Latin_Gamers,Disbanded,,,Y
Lyon_Gaming__28-2013_Latin_American_Team_29-,Merged,R7,LAT,Y
Rampage,Disbanded,,,Y
Team_oNe_eSports,Disbanded,,,Y
Young_Generation,Merged,SGB,VN,Y
GAM_Esports,Active,GAM,VN,Y
Immortals,Active,IMT, NA,Y
Longzhu_Gaming,Merged,DRX,KR,Y
Misfits_Gaming,Disbanded,,,Y
Ascension_Gaming,Disbanded,,,Y
DetonatioN_FocusMe,Active,DFM ,JP,Y
G_2d-Rex,Disbanded,,,Y
INFINITY,Active,INF,LAT,Y
Papara_SuperMassive,Active,PSM,EMEA,Y
100_Thieves,Active,100T,NA,Y
Kwangdong_Freecs,Active,KDF,KR,Y
Gen_2e-G,Active,GEN,KR,Y
MAD_Team,Disbanded,,,Y
Phong_V_c5-_a9-_Buffalo,Merged,SGB,VN,Y
Team_Liquid,Active,TL,NA,Y
Team_Vitality,Active,VIT,EMEA,Y
Clutch_Gaming,Merged,DIG,NA,Y
DWG_KIA,Active,DWG,KR,Y
Flamengo_Esports,Active,FLA,BR,Y
Isurus,Active,ISG,LAT,Y
Lowkey_Esports_2e-Vietnam,Disbanded,,,Y
MAMMOTH,Active,MEC,PCS,Y
MEGA,Disbanded,,,Y
Royal_Youth,Merged,RYL,EMEA,Y
Unicorns_of_Love_2e-CIS,Merged,UoL,EMEA,Y
FunPlus_Phoenix,Active,FPX,CN,Y
Griffin__28-Korean_Team_29-,Disbanded,,,Y
J_Team,Active,JT,PCS,Y
Legacy_Esports,Disbanded,,,Y
MAD_Lions,Active,MAD,EMEA,Y
PSG_Talon,Active,PSG,PCS,Y
Movistar_R7,Active,R7,LAT,Y
V3_Esports,Active,V3,JP,Y
DRX,Active,DRX,KR,Y
FlyQuest,Active,FQ,NA,Y
JD_Gaming,Active,JDG,KR,Y
Machi_Esports,Disbanded,,,Y
Rogue__28-European_Team_29-,Merged,KOI,EMEA,Y
Suning,Merged,WG,CN,Y
Top_Esports,Active,TES,CN,Y
Beyond_Gaming,Active,BG,PCS,Y
Galatasaray_Esports,Disbanded,,,Y
Hanwha_Life_Esports,Active,HLE,KR,Y
LNG_Esports,Active,LNG,CN,Y
PEACE__28-Oceanic_Team_29-,Disbanded,,,Y
RED_Canids,Active,RED,BR,Y
T1,Active,T1,KR,Y
Chiefs_Esports_Club,Active,CEC,PCS,Y
Evil_Geniuses_2e-NA,Active,EG,NA,Y
Istanbul_Wildcats,Active,HWA,EMEA,Y
LOUD,Active,LOUD ,BR,Y
Saigon_Buffalo,Active,SGB,BR,Y
CTBC_Flying_Oyster,Active,CTBC,PCS,Y
,,,,
,,,KR,
,,,KR,
,,,KR,
,,,KR,
,,,KR,
