Teams ,Status,Abbr,Region,History
Against_All_authority,Disbanded,aAa,EMEA,Y
Counter_Logic_Gaming,Merged,NRG,NA,Y
Epik_Gamer,Disbanded,EG,NA,Y
Fnatic,Active,FNC,EMEA,Y
Xan,Disbanded,XAN,PCS,Y
Team_gamed_21-de,Disbanded,GDE,EMEA,Y
Pacific_eSports,Disbanded,PCFC,PCS,Y
TSM,Active,TSM,NA,Y
Azubu_Frost,Disbanded,CJE,KR,Y
Counter_Logic_Gaming_Europe,Merged,NRG,NA,Y
Dignitas,Active,DIG,NA,Y
Invictus_Gaming,Active,iG,CN,Y
Moscow_Five,Disbanded,M5,EMEA,Y
NaJin_Black_Sword,Disbanded,NJBS,KR,Y
Saigon_Jokers,Disbanded,SGJ,VN,Y
SK_Gaming,Active,SK,EMEA,Y
Taipei_Assassins,Merged,JT,PCS,Y
Team_WE,Active,WE,CN,Y
Cloud9,Active,C9,NA,Y
Gamania_Bears,Disbanded,PCS,GB,Y
Gambit_Gaming,Disbanded,GG,EMEA,Y
GamingGear_2e-eu,Disbanded,TUV,EMEA,Y
Lemondogs,Disbanded,LD,EMEA,Y
Mineski,Disbanded,LYB,PCS,Y
Oh_My_God,Active,OMG,CN,Y
Royal_Club,Active,RYL,CN,Y
Samsung_White,Disbanded,SSW,KR,Y
SK_Telecom_T1,Merged,T1,KR,Y
Team_Vulcun,Disbanded,XDG,NA,Y
Ahq_eSports_Club,Disbanded,ahq,PCS,Y
Alliance,Disbanded,EL,EMEA,Y
Dark_Passage,Active,DP,TCL,Y
EDward_Gaming,Active,EDG,CN,Y
KaBuM_21-_Esports,Active,KBM,BR,Y
LMQ,Disbanded,LMQ,CN,Y
NaJin_White_Shield,Disbanded,NJWS,NR,Y
Samsung_Blue,Disbanded,SSB,KR,Y
Bangkok_Titans,Disbanded,MEGA,PCS,Y
Flash_Wolves,Disbanded,FW,PCS,Y
H2k_2d-Gaming,Disbanded,H2K,EMEA,Y
ROX_Tigers,Merged,HLE,KR,Y
KT_Rolster,Active,KT,KR,Y
LGD_Gaming,Active,LGD,CN,Y
Origen,Merged,AST,EMEA,Y
PaiN_Gaming,Active,paIN,BR,Y
Albus_NoX_Luna,Disbanded,M19,EMEA,Y
G2_Esports,Active,G2,EMEA,Y
I_May,Merged,BBG,CN,Y
INTZ,Active,INTZ,BR,Y
Royal_Never_Give_Up,Active,RNG,CN,Y
Samsung_Galaxy,Disbanded,SSG,KR,Y
Splyce,Merged,MAD,EMEA,Y
Dire_Wolves,Active,GCD,PCS,Y
Fenerbah_c3-_a7-e_Esports,Disbanded,FNB,EMEA,Y
Gambit_Esports,Disbanded,GMB,EMEA,Y
Hong_Kong_Attitude,Disbanded,HKA,PCS,Y
Kaos_Latin_Gamers,Disbanded,KLG,LAT,Y
Lyon_Gaming__28-2013_Latin_American_Team_29-,Merged,R7,LAT,Y
Rampage,Disbanded,PGM,JP,Y
Team_oNe_eSports,Disbanded,ONE,BR,Y
Young_Generation,Merged,SGB,VN,Y
GAM_Esports,Active,GAM,VN,Y
Immortals,Active,IMT, NA,Y
Longzhu_Gaming,Merged,DRX,KR,Y
Misfits_Gaming,Disbanded,MSF,EMEA,Y
Ascension_Gaming,Disbanded,AG,PCS,Y
DetonatioN_FocusMe,Active,DFM ,JP,Y
G_2d-Rex,Disbanded,GRX,PCS,Y
INFINITY,Active,INF,LAT,Y
Papara_SuperMassive,Active,PSM,EMEA,Y
100_Thieves,Active,100T,NA,Y
Kwangdong_Freecs,Active,KDF,KR,Y
Gen_2e-G,Active,GEN,KR,Y
MAD_Team,Disbanded,MAD,PCS,Y
Phong_V_c5-_a9-_Buffalo,Merged,SGB,VN,Y
Team_Liquid,Active,TL,NA,Y
Team_Vitality,Active,VIT,EMEA,Y
Clutch_Gaming,Merged,DIG,NA,Y
DWG_KIA,Active,DK,KR,Y
Flamengo_Esports,Active,FLA,BR,Y
Isurus,Active,ISG,LAT,Y
Lowkey_Esports_2e-Vietnam,Disbanded,LK,PCS,Y
MAMMOTH,Active,MEC,PCS,Y
MEGA,Disbanded,MEGA,PCS,Y
Royal_Youth,Merged,RYL,EMEA,Y
Unicorns_of_Love_2e-CIS,Merged,UoL,EMEA,Y
FunPlus_Phoenix,Active,FPX,CN,Y
Griffin__28-Korean_Team_29-,Disbanded,GRF,KR,Y
J_Team,Active,JT,PCS,Y
Legacy_Esports,Disbanded,LGC,PCS,Y
MAD_Lions,Active,MAD,EMEA,Y
PSG_Talon,Active,PSG,PCS,Y
Movistar_R7,Active,R7,LAT,Y
V3_Esports,Active,V3,JP,Y
DRX,Active,DRX,KR,Y
FlyQuest,Active,FQ,NA,Y
JD_Gaming,Active,JDG,KR,Y
Machi_Esports,Disbanded,MCX,PCS,Y
Rogue__28-European_Team_29-,Merged,KOI,EMEA,Y
Suning,Merged,WG,CN,Y
Top_Esports,Active,TES,CN,Y
Beyond_Gaming,Active,BG,PCS,Y
Galatasaray_Esports,Disbanded,GS,EMEA,Y
Hanwha_Life_Esports,Active,HLE,KR,Y
LNG_Esports,Active,LNG,CN,Y
PEACE__28-Oceanic_Team_29-,Disbanded,PCE,PCS,Y
RED_Canids,Active,RED,BR,Y
T1,Active,T1,KR,Y
Chiefs_Esports_Club,Active,CEC,PCS,Y
Evil_Geniuses_2e-NA,Active,EG,NA,Y
Istanbul_Wildcats,Active,HWA,EMEA,Y
LOUD,Active,LOUD ,BR,Y
Saigon_Buffalo,Active,SGB,BR,Y
CTBC_Flying_Oyster,Active,CTBC,PCS,Y
