Results,Stage,Region,Team,Seed,Qualified from
Play-In (Bo5),1,PCS,CTBC,1,PCS 2022 Summer Champion
Play-In (Bo5),1,PCS,BG,2,PCS 2022 Summer Runner-Up
Play-In (Bo5),1,VN,GAM,1,VCS 2022 Summer Champion
Play-In (Bo5),1,VN,SGB,2,VCS 2022 Summer Runner-Up
Play-In (Bo5),1,JP,DFM,1,LJL 2022 Summer Champion
Play-In (Bo5),1,BR,LOUD,1,CBLOL 2022 Split 2 Champion
Play-In (Bo5),1,LAT,ISR,1,LLA 2022 Closing Champion
Play-In (Bo5),1,OCE,CEC,Q,LCO 2022 Split 2 Champion
Swiss (Bo3),2,KR,GEN,1,LCK 2022 Summer Champion
Swiss (Bo3),2,KR,T1,2,LCK 2022 Championship Points
Swiss (Bo3),2,KR,DK,3,LCK 2022 Regional Finals
Swiss (Bo3),2,KR,DRX,4,LCK 2022 Regional Finals Runner-Up => INT
Swiss (Bo3),2,CN,JDG,1,LPL 2022 Summer Champion
Swiss (Bo3),2,CN,TE,2,LPL 2022 Championship Points
Swiss (Bo3),2,CN,EDG,3,LPL 2022 Regional Finals
Swiss (Bo3),2,CN,RNG,4,LPL 2022 Regional Finals Runner-Up => INT
Swiss (Bo3),2,EMEA,KOI,1,LEC 2022 Summer Champion
Swiss (Bo3),2,EMEA,G2,2,LEC 2022 Summer Runner-Up
Swiss (Bo3),2,EMEA,FNC,3,LEC 2022 Summer 3rd Place => INT
Swiss (Bo3),2,EMEA,MAD,4,LEC 2022 Summer 4th Place
Swiss (Bo3),2,NA,C9,1,LCS 2022 Championship Champion
Swiss (Bo3),2,NA,100T,2,LCS 2022 Championship Runner-Up
Swiss (Bo3),2,NA,EG,3,LCS 2022 Championship 3rd Place => INT
Knockout (Bo3),3,CN,JDG,1,Stage 2
Knockout (Bo3),3,EU,KOI,2,Stage 2
Knockout (Bo3),3,KR,T1,3,Stage 2
Knockout (Bo3),3,CN,RNG,4,Stage 2
Knockout (Bo3),3,KR,GEN,5,Stage 2
Knockout (Bo3),3,KR,DK,6,Stage 2
Knockout (Bo3),3,KR,DRX,7,Stage 2
Knockout (Bo3),3,CN,EDG,8,Stage 2
