Results,Stage,Region,Seed,Team,Qualified From
Play-In,1,PCS,1,,PCS 2023 Summer Champion
Play-In,1,PCS,2,,PCS 2023 Summer Runner-Up
Play-In,1,VN,1,,VCS 2023 Summer Champion
Play-In,1,VN,2,,VCS 2023 Summer Runner-Up
Play-In,1,JP,1,,LJL 2023 Summer Champion
Play-In,1,BR,1,,CBLOL 2023 Split 2 Champion
Play-In,1,LAT,1,,LLA 2023 Closing Champion
Play-In,1,INT,Q,,Worlds Qualifying Series 2023 Winner
Swiss,2,KR,1,,LCK 2023 Summer Champion
Swiss,2,KR,2,,LCK 2023 Championship Points
Swiss,2,KR,3,,LCK 2023 Regional Finals
Swiss,2,KR,4,,LCK 2023 Regional Finals Runner-Up
Swiss,2,CN,1,,LPL 2023 Summer Champion
Swiss,2,CN,2,,LPL 2023 Championship Points
Swiss,2,CN,3,,LPL 2023 Regional Finals Winner
Swiss,2,CN,4,,LPL 2023 Regional Finals Runner-Up
Swiss,2,EMEA,1,,LEC 2023 Season Finals Champion
Swiss,2,EMEA,2,,LEC 2023 Season Finals Runner-Up
Swiss,2,EMEA,3,,LEC 2023 Season Finals 3rd Place
Swiss,2,NA,1,,LCS 2023 Championship Champion
Swiss,2,NA,2,,LCS 2023 Championship Runner-Up
Swiss,2,NA,3,,LCS 2023 Championship 3rd Place
Swiss,2,INT,Q,,Qualified from Play-In Stage
Swiss,2,INT,Q,,Qualified from Play-In Stage
Knockout,3,?,1,,Qualified from Swiss Stage
Knockout,3,?,2,,Qualified from Swiss Stage
Knockout,3,?,3,,Qualified from Swiss Stage
Knockout,3,?,4,,Qualified from Swiss Stage
Knockout,3,?,5,,Qualified from Swiss Stage
Knockout,3,?,6,,Qualified from Swiss Stage
Knockout,3,?,7,,Qualified from Swiss Stage
Knockout,3,?,8,,Qualified from Swiss Stage
